x,u
    0.000000,    1.0221172124E-04
    0.010000,    5.6218225509E-02
    0.020000,    1.2252668291E-01
    0.030000,    1.7972373962E-01
    0.040000,    2.4331597984E-01
    0.050000,    3.0006116629E-01
    0.060000,    3.6036649346E-01
    0.070000,    4.1528704762E-01
    0.080000,    4.7167882323E-01
    0.090000,    5.2358233929E-01
    0.100000,    5.7543236017E-01
    0.110000,    6.2330800295E-01
    0.120000,    6.7002528906E-01
    0.130000,    7.1303862333E-01
    0.140000,    7.5409173965E-01
    0.150000,    7.9154354334E-01
    0.160000,    8.2642608881E-01
    0.170000,    8.5767936707E-01
    0.180000,    8.8587737083E-01
    0.190000,    9.1034317017E-01
    0.200000,    9.3138349056E-01
    0.210000,    9.4858998060E-01
    0.220000,    9.6213370562E-01
    0.230000,    9.7179418802E-01
    0.240000,    9.7767353058E-01
    0.250000,    9.7966563702E-01
    0.260000,    9.7782778740E-01
    0.270000,    9.7211849689E-01
    0.280000,    9.6257847548E-01
    0.290000,    9.4922333956E-01
    0.300000,    9.3211323023E-01
    0.310000,    9.1132014990E-01
    0.320000,    8.8693219423E-01
    0.330000,    8.5905611515E-01
    0.340000,    8.2779526711E-01
    0.350000,    7.9327464104E-01
    0.360000,    7.5561630726E-01
    0.370000,    7.1497184038E-01
    0.380000,    6.7149543762E-01
    0.390000,    6.2537026405E-01
    0.400000,    5.7677847147E-01
    0.410000,    5.2592176199E-01
    0.420000,    4.7299671173E-01
    0.430000,    4.1821342707E-01
    0.440000,    3.6177974939E-01
    0.450000,    3.0391710997E-01
    0.460000,    2.4484841526E-01
    0.470000,    1.8480852246E-01
    0.480000,    1.2403354049E-01
    0.490000,    6.2767274678E-02
    0.500000,    1.2527992949E-03
    0.510000,   -6.0263227671E-02
    0.520000,   -1.2153680623E-01
    0.530000,   -1.8232411146E-01
    0.540000,   -2.4238647521E-01
    0.550000,   -3.0148884654E-01
    0.560000,   -3.5940247774E-01
    0.570000,   -4.1590270400E-01
    0.580000,   -4.7076985240E-01
    0.590000,   -5.2378761768E-01
    0.600000,   -5.7474488020E-01
    0.610000,   -6.2343609333E-01
    0.620000,   -6.6966480017E-01
    0.630000,   -7.1324527264E-01
    0.640000,   -7.5400471687E-01
    0.650000,   -7.9178392887E-01
    0.660000,   -8.2643675804E-01
    0.670000,   -8.5782945156E-01
    0.680000,   -8.8584035635E-01
    0.690000,   -9.1035985947E-01
    0.700000,   -9.3129128218E-01
    0.710000,   -9.4855123758E-01
    0.720000,   -9.6207016706E-01
    0.730000,   -9.7179263830E-01
    0.740000,   -9.7767817974E-01
    0.750000,   -9.7970122099E-01
    0.760000,   -9.7785162926E-01
    0.770000,   -9.7213518620E-01
    0.780000,   -9.6257472038E-01
    0.790000,   -9.4921028614E-01
    0.800000,   -9.3209880590E-01
    0.810000,   -9.1131192446E-01
    0.820000,   -8.8693416119E-01
    0.830000,   -8.5906118155E-01
    0.840000,   -8.2780009508E-01
    0.850000,   -7.9327070713E-01
    0.860000,   -7.5560617447E-01
    0.870000,   -7.1495383978E-01
    0.880000,   -6.7147445679E-01
    0.890000,   -6.2534105778E-01
    0.900000,   -5.7673776150E-01
    0.910000,   -5.2585732937E-01
    0.920000,   -4.7289973497E-01
    0.930000,   -4.1807019711E-01
    0.940000,   -3.6157834530E-01
    0.950000,   -3.0363845825E-01
    0.960000,   -2.4447114766E-01
    0.970000,   -1.8430452049E-01
    0.980000,   -1.2337467074E-01
    0.990000,   -6.1927415431E-02
    1.000000,    1.0221172124E-04
